"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_id,minimal_patient_data,,text,"Study ID",,,,,,,,,,,,,
signature,minimal_patient_data,,file,"Consent Information",,YYYY-MM-DD,signature,,,y,,y,,,,,
date_enrolled,minimal_patient_data,,text,"Date subject signed consent",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
email,minimal_patient_data,,text,"Contact Information",,,email,,,y,,y,,,,,
first_name,minimal_patient_data,,text,"First Name",,,,,,y,,y,,,,,
last_name,minimal_patient_data,,text,"Last Name",,,,,,y,,y,,,,,
dob,minimal_patient_data,,text,"Date of birth",,,date_ymd,,,y,,y,,,,,
sex,minimal_patient_data,,dropdown,Sex,"0, Female | 1, Male | 2, Nonbinary | 3, Other | 4, Prefer Not to Say",,,,,y,,y,,,,,
par_code,minimal_patient_data,,text,"Participant Code",,,integer,1,78,,,y,,,,," @MC-PARTICIPANT-CODE @HIDDEN"
survey_question_1,secondary_pretestposttest_surveys,SF-36,radio,"survey question 1","1, Choice 1 | 2, Choice 2 | 3, Choice 3",,,,,,,,,,sf_36,,
survey_question_2,secondary_pretestposttest_surveys,,radio,"survey question 2","1, Choice 1 | 2, Choice 2 | 3, Choice 3",,,,,,,,,,sf_36,,
survey_question_3,secondary_pretestposttest_surveys,,radio,"survey question 3","1, Choice 1 | 2, Choice 2 | 3, Choice 3",,,,,,,,,,sf_36,,
survey_question_4,secondary_pretestposttest_surveys,,radio,"survey question 4","1, Choice 1 | 2, Choice 2 | 3, Choice 3",,,,,,,,,,sf_36,,
survey_question_5,secondary_pretestposttest_surveys,,radio,"survey question 5","1, Choice 1 | 2, Choice 2 | 3, Choice 3",,,,,,,,,,sf_36,,
survey_question_6,secondary_pretestposttest_surveys,,radio,"survey question 6","1, Choice 1 | 2, Choice 2 | 3, Choice 3",,,,,,,,,,sf_36,,
survey_question_7,secondary_pretestposttest_surveys,,radio,"survey question 7","1, Choice 1 | 2, Choice 2 | 3, Choice 3",,,,,,,,,,sf_36,,
survey_question_8,secondary_pretestposttest_surveys,,radio,"survey question 8","1, Choice 1 | 2, Choice 2 | 3, Choice 3",,,,,,,,,,sf_36,,
survey_question_9,secondary_pretestposttest_surveys,,radio,"survey question 9","1, Choice 1 | 2, Choice 2 | 3, Choice 3",,,,,,,,,,sf_36,,
survey_question_10,secondary_pretestposttest_surveys,,radio,"survey question 10","1, Choice 1 | 2, Choice 2 | 3, Choice 3",,,,,,,,,,sf_36,,
